epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,3017.11,0.50392,0.35666,0.83813,0.98974,0.99405,0.99375,0.91791,0.35334,0.2329,0.79515,0.000423414,0.000423414,0.000423414
151,3037.26,0.48497,0.33851,0.82796,0.99221,0.99405,0.9935,0.9385,0.32864,0.23465,0.79335,0.000420665,0.000420665,0.000420665
152,3057.31,0.48329,0.33527,0.82268,0.98714,0.99405,0.99318,0.91617,0.36412,0.24613,0.79759,0.000417916,0.000417916,0.000417916
153,3077.45,0.49835,0.35574,0.82938,0.98729,0.99405,0.99292,0.92089,0.35927,0.23944,0.79048,0.000415167,0.000415167,0.000415167
154,3097.5,0.47787,0.34362,0.82726,0.98637,0.99405,0.99438,0.91188,0.35606,0.23752,0.79586,0.000412418,0.000412418,0.000412418
155,3117.64,0.48935,0.35105,0.82642,0.99007,0.99405,0.99362,0.91751,0.3533,0.23683,0.78936,0.000409669,0.000409669,0.000409669
156,3137.86,0.48343,0.34523,0.83158,0.99019,0.9939,0.99477,0.92172,0.33907,0.2347,0.79171,0.00040692,0.00040692,0.00040692
157,3158.12,0.50615,0.34488,0.82932,0.989,0.99118,0.99373,0.92515,0.33862,0.23341,0.78941,0.000404172,0.000404172,0.000404172
158,3178.21,0.48444,0.34315,0.82901,0.9892,0.99367,0.99457,0.92914,0.34496,0.24017,0.78863,0.000401423,0.000401423,0.000401423
159,3198.43,0.48714,0.34811,0.82366,0.98469,0.99405,0.99262,0.92825,0.32356,0.23481,0.7873,0.000398674,0.000398674,0.000398674
160,3218.69,0.48741,0.33262,0.82897,0.99288,0.99117,0.99292,0.91864,0.34343,0.23978,0.78877,0.000395925,0.000395925,0.000395925
161,3239.08,0.48315,0.33847,0.82507,0.98562,0.99405,0.99256,0.91894,0.34477,0.22977,0.78784,0.000393176,0.000393176,0.000393176
162,3259.29,0.49272,0.344,0.82287,0.9936,0.99401,0.99233,0.92206,0.33095,0.23081,0.78757,0.000390427,0.000390427,0.000390427
163,3279.6,0.48252,0.33892,0.82627,0.99214,0.99405,0.99125,0.91826,0.33469,0.22877,0.79042,0.000387678,0.000387678,0.000387678
164,3299.48,0.47275,0.32392,0.81601,0.9887,0.99405,0.993,0.92206,0.36002,0.23743,0.7925,0.000384929,0.000384929,0.000384929
165,3319.75,0.47609,0.33221,0.81693,0.99436,0.99224,0.9935,0.92482,0.34151,0.22731,0.78875,0.00038218,0.00038218,0.00038218
166,3339.84,0.46402,0.32774,0.82068,0.9893,0.99405,0.99284,0.92361,0.34786,0.23019,0.78841,0.000379431,0.000379431,0.000379431
167,3360,0.47161,0.33459,0.8273,0.98947,0.99405,0.99292,0.92005,0.36524,0.23806,0.78947,0.000376683,0.000376683,0.000376683
168,3380.11,0.46104,0.32578,0.82855,0.99468,0.99405,0.99477,0.93327,0.34098,0.22881,0.78671,0.000373934,0.000373934,0.000373934
169,3400.77,0.46836,0.33044,0.819,0.99617,0.99405,0.99404,0.92278,0.36802,0.23867,0.78822,0.000371185,0.000371185,0.000371185
170,3421.04,0.47015,0.339,0.82029,0.99162,0.99405,0.99404,0.92569,0.35051,0.23455,0.78945,0.000368436,0.000368436,0.000368436
171,3441.63,0.46005,0.33034,0.82445,0.99375,0.99342,0.99404,0.93668,0.31948,0.23466,0.78696,0.000365687,0.000365687,0.000365687
172,3461.81,0.47405,0.33762,0.81887,0.99464,0.99357,0.99438,0.93212,0.3379,0.22932,0.786,0.000362938,0.000362938,0.000362938
173,3482.23,0.46716,0.33538,0.82358,0.98986,0.99405,0.99457,0.93195,0.355,0.23162,0.78804,0.000360189,0.000360189,0.000360189
174,3502.6,0.48393,0.33927,0.82553,0.98915,0.99405,0.99269,0.92809,0.3506,0.23369,0.7867,0.00035744,0.00035744,0.00035744
175,3522.91,0.48131,0.33477,0.81323,0.98971,0.99405,0.99362,0.9303,0.34695,0.23052,0.78625,0.000354691,0.000354691,0.000354691
176,3543.22,0.48743,0.33632,0.82625,0.989,0.9881,0.99363,0.93479,0.33103,0.23301,0.78554,0.000351942,0.000351942,0.000351942
177,3563.68,0.47014,0.32516,0.81406,0.99139,0.9881,0.99218,0.92654,0.32892,0.23018,0.78333,0.000349194,0.000349194,0.000349194
178,3583.79,0.47398,0.34005,0.82758,0.9874,0.99405,0.99389,0.93468,0.314,0.22158,0.78459,0.000346445,0.000346445,0.000346445
179,3603.8,0.47109,0.32909,0.81973,0.98342,0.99026,0.99438,0.9233,0.33122,0.23167,0.78469,0.000343696,0.000343696,0.000343696
180,3623.94,0.46644,0.33474,0.82427,0.98933,0.9881,0.99347,0.92738,0.34373,0.2324,0.78564,0.000340947,0.000340947,0.000340947
181,3643.78,0.46998,0.32664,0.81591,0.99466,0.99405,0.99375,0.92642,0.34541,0.22519,0.78403,0.000338198,0.000338198,0.000338198
